Component Description,Quantity per FUNGI-TUBE Unit,Est. $ per Component,Est. $ per FUNGI-TUBE Unit,Reference Link
Generic female headers,7, $ 0.05 , $ 0.35 ,https://www.amazon.com/Ferwooh-Single-Straight-Connector-Spacing/dp/B0CZ6X313F/ref=sr_1_5?crid=319NIELD1PQOZ&dib=eyJ2IjoiMSJ9.Etit1cE8UtTdjEvLSb3xGs5hXbvj-dbCcWRFnTrQLqwpNkBJwSksvVsW9PnLBOXVjxxY0LdLTeAgT36ethBoLAFuOXlWt89p_cC1x3JIoJRggtcRMPcG7mWSy_FNbwXz3WNlBi5yCXJF6V1VUOWVEOL2jiwn5kVn6koHN8nbh-2XYbZwyK0xtfH8TzlzV2HYLFFzEVIRB102qdcOJPNbj5Wr59F5ZxzmZhIFC8tYfxc.l_lzh8dHARz2hPHD33plY2Jt1imKyM-OZj-Yg90fbOA&dib_tag=se&keywords=female+pcb+headers&qid=1748174622&sprefix=female+pcb+headers%2Caps%2C91&sr=8-5
USB Rev 2.0 Compliant 28/28AWG Shielded Cable,1, $ 1.50 , $ 1.50 ,https://www.l-com.com/usb-usb-rev-20-compliant-28-28awg-bulk-cable-100-ft-spool
Shield PCB,1, $ 4.50 , $ 4.50 ,pcbway.com
Black PLA filament,1, $ 1.50 , $ 1.50 ,https://www.amazon.com/OVERTURE-Filament-Consumables-Dimensional-Accuracy/dp/B07PGY2JP1/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.je6z6pUe0IdeGUjtxatcGeYSf-hperqGZ9JpHyfc1_PyU9aYjKA1lLC3UebpA_yBF_XxYm_t4uffAiQOTH9v-KkCZxQaE5UAUOUJIxd1aGsxO3P6cl9oGTqHRqeFbMmMSfA4kHiAP8U6hHypR2jusKID1Us4lCQVpL0xzUK9jaswlgjieOMrUS6WqBI-CbeyINb_ymjeLX9sACiGl6jQT4dyD9X-HJLeK-fEiLxOa0I.oEeePVQM8uf9-ZBrtq5Hj3RKBrbfYgqLQVdhaRQLNt4&dib_tag=se&keywords=black+pla+filament&qid=1748173707&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Natural PLA filament,1, $ 0.50 , $ 0.50 ,https://www.amazon.com/dp/B0CRGHZW76?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Translucent PLA filament,1, $ 0.50 , $ 0.50 ,https://www.amazon.com/ELEGOO-Filament-Translucent-Dimensional-Accuracy/dp/B0DM1WT26K/ref=sr_1_2_sspa?crid=1DKHOUMCRYGH8&dib=eyJ2IjoiMSJ9.r1DOn3i3yPNqv6tpHiZVThR1rBUn4OK8spjMRr-bW_9NbPxwofufmmgBxGIzwW3qZLiNknOfjXuD2ZI77bJznZdQ6vyD7L-0DKBDloDbg5v7nQffi_QJOVBDp_rKvtKFPToYQGqFqOg8U6-AKiw5qqZIQlAVjqfpgzjgGGNLj0CXLMhMrxkC9ZGFBCsEX66dpuZStqe5DQiICjhtVTWvuicmDFKZW5YSeDgwihV7Yjg.Oiv3bKQDT-UrAC-1WIUeqmqXpXR14AdMO6hjteRiqaI&dib_tag=se&keywords=transparent%2Bpla%2Bfilament&qid=1748173590&sprefix=transparent%2Bpla%2Bfilament%2Caps%2C134&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
"Power Supply (DC 5v 2A, 5.5x2.1mm center positive barrel jack)",1, $ 3.80 , $ 3.80 ,https://www.amazon.com/dp/B09W96X88K?ref=ppx_yo2ov_dt_b_fed_asin_title
Female to male 5.5x2.1mm center positive barrel jack splitter,1, $ 3.50 , $ 3.50 ,https://www.amazon.com/Splitter-Surveillance-Adapter-Y-Cable-Security/dp/B082Y1PQ6C/ref=sr_1_2?crid=38NORIKGGF9XW&dib=eyJ2IjoiMSJ9.6EFIbYi13krLCunXOfKTMmG5XCr_YMmU5jUaAksHEXjDPFuK74SJmq9p94lJSeG2iGEw6-eBHCGl10gKcfcp-CaB3n6j5IHyB5eGbh1pHsXHd6ZjTOjvaGPuvExsyo9bgf_6wSqML1u8qINo9CV1-SNHJDXaOPbYShhWnmLGo-BaEvYacUfN443piputNNZjgJPhMmy_LmbtJ8VKEuSNLXO_t-_oshA3udttpbGJuOC1ssinHPGX2b1pubw8vhi4c-JPjMXhvtfnFHjKhpJZglJYduoBtRpXYbP0u4oO0mM.66OA1XaaOwtpZ0jSO4d2JWBG2cgNgdBh3Dezc2IEo4I&dib_tag=se&keywords=barrel+jack+splitter&qid=1748174469&s=electronics&sprefix=barrel+jack+splitte%2Celectronics%2C114&sr=1-2
M2 set screw,2, $ 0.02 , $ 0.04 ,
M3 button head machine screw,12, $ 0.02 , $ 0.24 ,
M2 button head machine screw,2, $ 0.02 , $ 0.04 ,
4-pin JST connectors,5, $ 0.43 , $ 2.15 ,https://www.amazon.com/Sets-2-5-4-Connector-200mm-Female/dp/B01DUC1S14/ref=sr_1_1_sspa?crid=2HHG74M141TWS&dib=eyJ2IjoiMSJ9.qnkCp1ktkMd_GPHXnSSrLmC6OjNdRXSHfKkhfA06cvH2-aFcX1f3N0vunnkmY8a_z-l3ZdvisYiR7f1RFWcv6AZWdupdJEhJSfYWzMcs0ZXn0W28Py5yRbLsNhSmMPntT4DXeDzx35ug-52bPG2FzuolFrlNwSxGEd1VSvtzfrQhO0H4WKg0C3pKJffpI2mCDFfGhgqBoCDmzP7eOv8zE070ULy58f7xt1WemZF0pEs.2HDx4eZ7tUys5ZgRwOPq7iviIcxKRV9wXZ7PVhHjnxc&dib_tag=se&keywords=4+pin+jst+connector&qid=1748644840&sprefix=4+pin+jst+connector%2Caps%2C119&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
8-pin jumper wire ribbon with female connector,1, $ 1.85 , $ 1.85 ,https://www.amazon.com/dp/B0CW9FN5RL?ref=ppx_yo2ov_dt_b_fed_asin_title
Total,,, $ 108.59 ,
